,handle,problemName,spotId
1,THE_OMAR,I,0
2,The_Black_Coder,A,0
3,_Salah_Ashraf_2001,N,0
5,_.anonymous._,C,0
7,Nagib_Nagib,N,0
9,ShahdAshraf,A,0
10,alitarekkk,N,0
11,Error_403,C,0
12,THE_OMAR,N,0
13,The_Black_Coder,I,0
17,_Salah_Ashraf_2001,I,0
19,Osama_Gharib,A,0
21,Saytara,N,0
24,Sparrow.,I,0
25,The_Black_Coder,N,0
26,Mohmed_Shabaan,A,0
27,alitarekkk,I,0
28,_Senior,I,0
29,AbdullahMostafa,C,0
30,Error_403,A,0
32,Yousef_Sameh,A,0
33,Osama_Gharib,N,0
34,Realziad,N,0
35,_.anonymous._,N,0
36,MoamenSherif,A,0
37,Don,N,0
38,ShahdAshraf,N,0
39,HanaaAhmed,N,0
41,L0GIC,N,0
42,mohab0,A,0
43,Verina.gad,A,0
46,DrVito,N,0
48,Don,I,0
49,XxMr_ErR0rxX,I,0
50,Mohmed_Shabaan,N,0
52,AbdullahMostafa,I,0
54,ahmedsaif10,N,0
55,AZoOoNY,I,0
58,Osama_Gharib,I,0
59,MoamenSherif,N,0
60,_Senior,N,0
61,_.anonymous._,F,0
62,Eiad_Ahmed,A,0
63,Sparrow.,N,0
64,MedoZ,A,0
66,Lime,A,0
67,Mariatawfek,A,0
68,SHWKY,N,0
69,Ziad24,A,0
70,ahmedasaad2772,N,0
71,_Senior,A,0
72,Yousef_Sameh,N,0
73,zezoo050,F,0
74,Ziadsameh,A,0
75,Nouran_Ahmed_ibrahim,I,0
76,AbdullahMostafa,N,0
78,Don,A,0
79,_.anonymous._,A,0
81,aligadallah,N,0
82,mageds,N,0
83,go_next,A,0
85,Ahmed_Nser_El_Din,A,0
86,.dave,N,0
87,3LOLOo,A,0
89,_Salah_Ashraf_2001,F,0
91,Dark_Knight_Coder,N,0
92,_.anonymous._,I,0
93,Mohammad_Mobarak,A,0
95,mosalah_02,N,0
96,Eiad_Ahmed,I,0
97,Alaa-Ahmed,A,0
98,ahmedsaif10,A,0
99,DrVito,I,0
101,Verina.gad,N,0
103,MedoZ,I,0
104,ahmedasaad2772,I,0
105,Nouran_Ahmed_ibrahim,N,0
106,Osama_Gharib,C,0
109,Mohmed_Salah,A,0
110,Mariatawfek,N,0
111,Mostafa.mahmoud2001,A,0
113,HanaaAhmed,I,0
114,AZoOoNY,N,0
115,The_Black_Coder,C,0
116,SaraMahmoud,I,0
117,mosalah_02,I,0
118,AliGhaleb,N,0
119,Yousef_Sameh,I,0
120,omarr35,A,0
121,nagyjosef,N,0
122,Eiad_Ahmed,N,0
123,Mr.Glory,N,0
124,ahmedmagdy112233,A,0
125,Nouran.ouf,A,0
126,_Yuu,A,0
127,Mohmed_Shabaan,I,0
128,Ziad24,N,0
129,Error_403,I,0
132,MrMody,A,0
133,3AsFOUr_Coder,A,0
134,go_next,N,0
136,mageds,I,0
138,MedoZ,N,0
139,Mohammad_Mobarak,N,0
141,ShahdAshraf,I,0
142,L0GIC,A,0
143,Tayseer2002,A,0
144,THE_OMAR,A,0
145,Saytara,I,0
146,Mohmed_Salah,I,0
147,AZoOoNY,A,0
148,MoamenSherif,I,0
150,Salma_Khaled01,N,0
151,maryam.megahed,A,0
153,Osama_Gharib,F,0
154,Error_403,N,0
156,abdelrhman_ahmed7,A,0
157,ahmedsaif10,I,0
158,omarr35,N,0
159,The_Black_Coder,F,0
161,Mostafa.mahmoud2001,N,0
162,ahmedasaad2772,A,0
164,Mohammad_Mobarak,I,0
167,.dave,I,0
169,Mariatawfek,I,0
170,Alaa-Ahmed,N,0
175,Shrouk_ragap20,A,0
176,Ahmed1Galal,N,0
177,Mohmed_Salah,N,0
178,AbdullahMostafa,F,0
180,3AsFOUr_Coder,N,0
182,MennatAllahWael246,A,0
184,Haruyukio,F,0
186,Desert_Coder,I,0
187,ahmedmagdy112233,N,0
190,abdelrhman_ahmed7,N,0
191,maryam.megahed,N,0
192,Janaashraff,N,0
193,Bontos,A,0
195,Mr.Glory,I,0
196,AZoOoNY,C,0
197,Dark_Knight_Coder,A,0
198,L0GIC,I,0
200,aligadallah,A,0
207,XxMr_ErR0rxX,N,0
209,ahmedsaif10,C,0
210,MrMody,N,0
211,Error_403,F,0
212,Nouran_Ahmed_ibrahim,A,0
213,MennatAllahWael246,N,0
214,omarr35,I,0
215,Mohmed_Shabaan,F,0
218,ahmedmagdy112233,I,0
219,AbdullahMostafa,A,0
221,Bontos,N,0
223,-MR_WHITE-,N,0
224,SHWKY,I,0
227,Haruyukio,N,0
228,Ruba_Wasfi,A,0
229,_Again__,N,0
230,_Senior,C,0
231,ammar7018,N,0
232,Mohammad_Mobarak,C,0
235,3AsFOUr_Coder,I,0
238,Verina.gad,I,0
239,Don,F,0
240,Shrouk_ragap20,N,0
243,maryam.megahed,I,0
246,CEH_Abanoub_Ashraf_1,A,0
247,Realziad,I,0
251,AZoOoNY,F,0
252,-MR_WHITE-,A,0
254,zezoo050,N,0
255,Nagib_Nagib,A,0
258,_Again__,I,0
259,Ahmed1Galal,A,0
263,Nouran.ouf,N,0
265,Lime,N,0
266,ahmedsaif10,F,0
267,Tayseer2002,N,0
268,MennatAllahWael246,I,0
270,Ruba_Wasfi,N,0
271,SaraMahmoud,C,0
272,HanaaAhmed,F,0
273,KerollosRady,N,0
275,_Yuu,N,0
